Index, byte1, byte2, Counts, Size, Time(us)
 3148406,  0,  8, 0, 4000000, 5126624
 3156750,  0,  0, 1, 4000000, 5126624
 3165074,  0,  8, 1, 4000000, 5126624
 3173418,  0,  0, 2, 4000000, 5126624
 3181742,  0,  8, 2, 4000000, 5126624
 3190084,  0,  0, 3, 4000000, 5126624
 3198410,  0,  8, 3, 4000000, 5126624
 3206752,  0,  0, 4, 4000000, 5126624
 3215076,  0,  8, 4, 4000000, 5126624
 3223420,  0,  0, 5, 4000000, 5126624
 3231744,  0,  8, 5, 4000000, 5126624
 3240086,  0,  0, 6, 4000000, 5126624
 3248412,  0,  8, 6, 4000000, 5126624
 3256754,  0,  0, 7, 4000000, 5126624
 3265080,  0,  8, 7, 4000000, 5126624
 3273422,  0,  0, 8, 4000000, 5126624
 3281746,  0,  8, 8, 4000000, 5126624
 3290090,  0,  0, 9, 4000000, 5126624
 3298414,  0,  8, 9, 4000000, 5126624
 3306756,  0,  0, 10, 4000000, 5126624
 3315082,  0,  8, 10, 4000000, 5126624
 3323424,  0,  0, 11, 4000000, 5126624
 3331748,  0,  8, 11, 4000000, 5126624
 3340092,  0,  0, 12, 4000000, 5126624
 3348416,  0,  8, 12, 4000000, 5126624
 3356760,  0,  0, 13, 4000000, 5126624
 3365084,  0,  8, 13, 4000000, 5126624
 3373426,  0,  0, 14, 4000000, 5126624
 3381752,  0,  8, 14, 4000000, 5126624
 3390094,  0,  0, 15, 4000000, 5126624
 3398418,  0,  8, 15, 4000000, 5126624
 3406762,  0,  0, 16, 4000000, 5126624
 3415086,  0,  8, 16, 4000000, 5126624
 3423428,  0,  0, 17, 4000000, 5126624
 3431754,  0,  8, 17, 4000000, 5126624
 3440096,  0,  0, 18, 4000000, 5126624
 3448420,  0,  8, 18, 4000000, 5126624
 3456764,  0,  0, 19, 4000000, 5126624
 3465088,  0,  8, 19, 4000000, 5126624
 3473432,  0,  0, 20, 4000000, 5126624
 3481756,  0,  8, 20, 4000000, 5126624
 3490098,  0,  0, 21, 4000000, 5126624
 3498424,  0,  8, 21, 4000000, 5126624
